	f-w	1！！7	8！！9	bounary	a-f	0	E	x	+	-	*	/	<	>	=	!	&	|	.
1	2	3	3	30	2	9	-1	-1	17	19	21	13	22	22	24	25	26	28	-1
2*	2	2	2	-1	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3*	-1	3	3	-1	-1	3	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4
4	-1	5	5	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5*	-1	5	5	-1	-1	5	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	8	8	-1	-1	8	-1	-1	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	8	8	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8*	-1	8	8	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4
9*	-1	12	-1	-1	-1	12	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	-1	11	11	-1	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11*	-1	11	11	-1	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12*	-1	12	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1
14	14	14	14	14	14	14	14	14	14	14	15	14	14	14	14	14	14	14	14
15	14	14	14	14	14	14	14	14	14	14	15	16	14	14	14	14	14	14	14
16*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17*	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19*	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1
20*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1
23*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1
25*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1
26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	-1
27*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1
29*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
